Timestamp | Channel | DisplayName | Message
00:22 | 팀 | YaMang OwO#KR1 | dkasdf
00:33 | 전체 | 전태양동무#KR1 | 안녕뇽
00:35 | 전체 | 전태양동무#KR1 | 반가워요
00:38 | 전체 | 전태양동무#KR1 | 오늘은 근로자의날
01:23 | 전체 | 강철죽#KR1 | 야이 근로자야
01:26 | 팀 | fldnfWF#KR1 | 걍들이박지
01:27 | 전체 | 강철죽#KR1 | 그만 좀 와라
01:28 | 팀 | YaMang OwO#KR1 | 이제 로 시작하네
01:44 | 전체 | YaMang OwO#KR1 | 헛둘 셋넷
06:14 | 전체 | 강철죽#KR1 | 야 이 근로자야
06:18 | 전체 | 전태양동무#KR1 | ??
06:24 | 전체 | 강철죽#KR1 | 화이팅
07:03 | 팀 | YaMang OwO#KR1 | 잭스는 어느라인임??
07:07 | 팀 | 강철죽#KR1 | 서폿
07:23 | 팀 | YaMang OwO#KR1 | 읭 왜 탑까지 ㄷㄷ
08:13 | 팀 | 강철죽#KR1 | 아
09:10 | 팀 | 왁 코#KR1 | 니네 엄MA 푸바오로 만들어버린다
09:14 | 팀 | 왁 코#KR1 | 그런짓 ㄴㄴ
09:16 | 팀 | fldnfWF#KR1 | 앙
09:28 | 팀 | YaMang OwO#KR1 | 헉
09:29 | 팀 | YaMang OwO#KR1 | 패드립
09:56 | 전체 | 전태양동무#KR1 | 형 화이팅
10:03 | 전체 | 강철죽#KR1 | 너 좀 한다?
11:15 | 팀 | 왁 코#KR1 | 님 쓰잘데기없는데 안오는게 더도움될거같아요\
11:22 | 전체 | 강스터이 #KR1 | ㅋ
11:25 | 전체 | 강스터이 #KR1 | 티모
12:32 | 전체 | YaMang OwO#KR1 | ㅋㅋㅋ
13:19 | 전체 | YaMang OwO#KR1 | 너네 잭스 왜자꾸 탑에 오냐!
14:53 | 전체 | YaMang OwO#KR1 | 안대!
15:05 | 팀 | 강철죽#KR1 | 개빠르네
15:07 | 팀 | YaMang OwO#KR1 | 그러게 ㅋㅋ
15:14 | 전체 | 강스터이 #KR1 | ㅋㅋㅋㅋㅋㅋㅋㅋ
15:15 | 전체 | YaMang OwO#KR1 | 스카너
15:19 | 전체 | YaMang OwO#KR1 | 쥰내 바퀴벌레같아
15:22 | 팀 | 강철죽#KR1 | ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
15:26 | 전체 | 강스터이 #KR1 | ㅋㅋㅋㅋ 너도
15:35 | 전체 | 강스터이 #KR1 | 원조 벌래잖아
15:54 | 전체 | YaMang OwO#KR1 | 티모는
15:56 | 전체 | YaMang OwO#KR1 | 귀여움
16:24 | 팀 | fldnfWF#KR1 | 리쉬감사영
